start_time,end_time,text,avg_logprob,no_speech_prob
3:53.00,3:55.00,多年後當你爭埋過,-0.3534,0.2994
3:55.00,3:57.00,長劍在人海中擦肩,-0.3534,0.2994
3:57.00,4:00.00,熟悉的一張臉會是人嗎,-0.3534,0.2994
4:00.00,4:03.00,當主會他會淚濕多少磨擔,-0.3534,0.2994
4:03.00,4:07.00,不掉在歲月中你也滿,-0.3534,0.2994
4:07.00,4:10.00,你許未來會有待一天,-0.3534,0.2994
4:10.00,4:12.00,當你閉上雙眼,-0.3534,0.2994
4:12.00,4:15.00,旁邊又回到了那幻畫面,-0.3534,0.2994
4:15.00,4:18.00,那時還不遲卷還不懂懷念,-0.2376,0.0049
4:18.00,4:22.00,以為路的盡頭就是永遠,-0.2376,0.0049
4:22.00,4:24.00,多年後當你爭埋過,-0.2376,0.0049
4:24.00,4:26.00,長劍的一路過畫面,-0.2376,0.0049
4:26.00,4:29.00,在腦海中重現會微笑嗎,-0.2376,0.0049
4:29.00,4:32.00,當主會笑出口的多少諾言,-0.2376,0.0049
4:32.00,4:36.00,不掉在歲月中你也兌現,-0.2376,0.0049
4:36.00,4:40.00,這風雪長路,-0.2376,0.0049
4:40.00,4:44.00,好多別停過,-0.2376,0.0049
4:44.00,4:53.00,我在這半途給你們祝福,-0.4722,0.0172
5:14.00,5:19.00,詞曲 李宗盛,-0.6544,0.9683
5:44.00,5:49.00,曲 李宗盛,-0.5722,0.9288
